phone,school,region
+16029385517,Adams Traditional Academy,Greater Phoenix Charter
+16022438531,Advance U,Greater Phoenix Charter
+15202155859,Akimel O'Otham Pee Posh (3-5),Greater Phoenix Charter
+16027216610,Albert Einstein Academy,Greater Phoenix Charter
+16235515083,AMCS at Anthem dba Caurus Academy,Greater Phoenix Charter
+14803449800,American Leadership Academy Anthem K-6,Greater Phoenix Charter
+14809883204,American Leadership Academy Gilbert K-6,Greater Phoenix Charter
+14803449892,American Leadership Academy Gilbert North K-12,Greater Phoenix Charter
+14804202101,American Leadership Academy Gilbert South K-6,Greater Phoenix Charter
+14804202110,American Leadership Academy Mesa K-6,Greater Phoenix Charter
+14804202150,American Leadership Academy Queen Creek K-12,Greater Phoenix Charter
+14808611320,American Leadership Academy West Foothills K-12,Greater Phoenix Charter
+16025320100,AmeriSchools Academy - Camelback,Greater Phoenix Charter
+14802880337,Apache Trail High School,Greater Phoenix Charter
+16235350754,Arizona Agribusiness & Equine Center - Estrella,Greater Phoenix Charter
+16028825544,Arizona Autism Charter - Online High School,Greater Phoenix Charter
+15208825544,Arizona Autism Charter School,Greater Phoenix Charter
+16239744959,Arizona Charter Academy,Greater Phoenix Charter
+16234988200,Arizona Collegiate High School,Greater Phoenix Charter
+14807825842,Arizona Connections Academy,Greater Phoenix Charter
+16022664278,Arizona Conservatory for Arts and Academics,Greater Phoenix Charter
+16238780986,Arizona Conservatory for Arts and Academics Elementary Schoo,Greater Phoenix Charter
+16024761320,Arizona Insight Academy,Greater Phoenix Charter
+16029961595,Arizona Language Preparatory,Greater Phoenix Charter
+14803349608,Arizona Language Schools,Greater Phoenix Charter
+16239072661,Arizona Preparatory Academy,Greater Phoenix Charter
+16022571444,Arizona School For The Arts,Greater Phoenix Charter
+16234742120,Arts Academy at Estrella Mountain,Greater Phoenix Charter
+15203744200,ASU Preparatory Academy - Casa Grande HS,Greater Phoenix Charter
+16024963100,ASU Preparatory Academy - Phoenix Middle School,Greater Phoenix Charter
+16028421722,ASU Preparatory Academy - South Phoenix High School,Greater Phoenix Charter
+16025516594,ASU Preparatory Academy - South Phoenix Intermediate,Greater Phoenix Charter
+16024921722,ASU Preparatory Academy - South Phoenix Primary,Greater Phoenix Charter
+18446923372,ASU Preparatory Academy Digital,Greater Phoenix Charter
+16024960041,ASU Preparatory Academy- Pilgrim Rest K-8,Greater Phoenix Charter
+14807275700,ASU Preparatory Academy-Polytechnic Elementary,Greater Phoenix Charter
+14807275769,ASU Preparatory Academy-Polytechnic High School,Greater Phoenix Charter
+14806714585,Avalon Elementary,Greater Phoenix Charter
+14802875588,AZ Compass Prep School,Greater Phoenix Charter
+14806565555,Ball Charter Schools (Val Vista),Greater Phoenix Charter
+14806592294,BASIS Ahwatukee,Greater Phoenix Charter
+14809076072,BASIS Chandler,Greater Phoenix Charter
+14807986447,BASIS Chandler Primary - North Campus,Greater Phoenix Charter
+14804942200,BASIS Chandler Primary- South Campus,Greater Phoenix Charter
+14802768592,BASIS Goodyear,Greater Phoenix Charter
+16022394807,BASIS Mesa,Greater Phoenix Charter
+16235669100,BASIS Peoria,Greater Phoenix Charter
+16232511504,BASIS Peoria Primary,Greater Phoenix Charter
+16025959870,BASIS Phoenix,Greater Phoenix Charter
+16029627393,BASIS Phoenix Central Primary,Greater Phoenix Charter
+14802892088,BASIS Phoenix North,Greater Phoenix Charter
+16025980330,BASIS Phoenix Primary,Greater Phoenix Charter
+14804517500,BASIS Scottsdale,Greater Phoenix Charter
+14803911099,BASIS Scottsdale Primary - East Campus,Greater Phoenix Charter
+14809001858,BASIS Scottsdale Primary - West Campus,Greater Phoenix Charter
+16027653582,Benchmark School,Greater Phoenix Charter
+14809870722,Benjamin Franklin Charter School - Crismon,Greater Phoenix Charter
+14806320722,Benjamin Franklin Charter School - Gilbert,Greater Phoenix Charter
+14806778400,Benjamin Franklin Charter School - Power,Greater Phoenix Charter
+14805581197,Benjamin Franklin High School,Greater Phoenix Charter
+16029431317,Bennett Academy,Greater Phoenix Charter
+16022424220,Bennett Academy - Venture Site,Greater Phoenix Charter
+14808211404,Bright Beginnings School #1,Greater Phoenix Charter
+14809644602,Burke Basic School,Greater Phoenix Charter
+16235562179,Calibre Academy Surprise,Greater Phoenix Charter
+14806412828,Cambridge Academy East,Greater Phoenix Charter
+14809873577,Cambridge Academy East,Greater Phoenix Charter
+16232472204,Camelback Academy,Greater Phoenix Charter
+14809239963,Candeo North Scottsdale,Greater Phoenix Charter
+16239796500,Candeo Peoria,Greater Phoenix Charter
+16029736018,Career and College Prep,Greater Phoenix Charter
+16029550355,Career Success School - Sage Campus,Greater Phoenix Charter
+16026878282,Career Success Schools - STEM Academy 7-12,Greater Phoenix Charter
+16028925022,CASA Academy,Greater Phoenix Charter
+14806321940,Center for Educational Excellence,Greater Phoenix Charter
+16029385411,Challenge Charter School,Greater Phoenix Charter
+14808301750,Challenger Basic School,Greater Phoenix Charter
+14806643379,Champion Chandler,Greater Phoenix Charter
+14807652223,Champion San Tan,Greater Phoenix Charter
+16027120500,Children First Leadership Academy,Greater Phoenix Charter
+16022526721,City View High School,Greater Phoenix Charter
+14804610555,Concordia Charter School,Greater Phoenix Charter
+16025952198,Cornerstone Charter School,Greater Phoenix Charter
+16239002230,Country Gardens Charter School,Greater Phoenix Charter
+16027659555,Crestview College Preparatory High School,Greater Phoenix Charter
+16235359300,Crown Charter School,Greater Phoenix Charter
+16238450781,Crown Point High School,Greater Phoenix Charter
+16023884444,Deer Valley Academy,Greater Phoenix Charter
+16028962900,Desert Heights Charter School,Greater Phoenix Charter
+14808131151,Desert Hills High School,Greater Phoenix Charter
+16022436909,Desert Marigold School,Greater Phoenix Charter
+16239744827,Discover U,Greater Phoenix Charter
+14808556325,Dobson Academy The - A Ball Charter School,Greater Phoenix Charter
+16023235400,EAGLE College Prep,Greater Phoenix Charter
+16026380820,EAGLE College Prep Maryvale,Greater Phoenix Charter
+16026380802,EAGLE College Preparatory School- Mesa,Greater Phoenix Charter
+14809812008,East Valley High School,Greater Phoenix Charter
+16232822871,Edison School of Innovation,Greater Phoenix Charter
+14808904001,Edkey Inc. - Sequoia Deaf School,Greater Phoenix Charter
+14806213365,EdOptions HS Learning Center,Greater Phoenix Charter
+14808139537,EDUPRIZE ONLINE INSTRUCTION,Greater Phoenix Charter
+14808881610,Eduprize School,Greater Phoenix Charter
+16022835720,Empower College Prep,Greater Phoenix Charter
+16239326561,Estrella High School,Greater Phoenix Charter
+16232493211,Ethos Academy- A Challenge Foundation Academy,Greater Phoenix Charter
+15057103214,Explore Academy - Peoria,Greater Phoenix Charter
+16028706674,Franklin Phonetic Primary School-Sunnyslope,Greater Phoenix Charter
+16024240771,Freedom Academy,Greater Phoenix Charter
+14802562642,Freedom Prep Academy - Mesa,Greater Phoenix Charter
+16022584353,Friendly House Academia Del Pueblo Elem,Greater Phoenix Charter
+16023925237,Gateway Early College High School,Greater Phoenix Charter
+16022548090,Genesis Academy,Greater Phoenix Charter
+14802192121,George Gervin Prep Academy,Greater Phoenix Charter
+16022884518,Girls Leadership Academy of Arizona,Greater Phoenix Charter
+16028411221,Glenview College Preparatory High School,Greater Phoenix Charter
+16234654776,Great Hearts Academies - Anthem Prep,Greater Phoenix Charter
+14802224233,Great Hearts Academies - Archway Arete,Greater Phoenix Charter
+14808556474,Great Hearts Academies - Archway Chandler,Greater Phoenix Charter
+14804241790,Great Hearts Academies - Archway Cicero,Greater Phoenix Charter
+16238664710,Great Hearts Academies - Archway Glendale,Greater Phoenix Charter
+14804241798,Great Hearts Academies - Archway Lincoln,Greater Phoenix Charter
+16029964355,Great Hearts Academies - Archway North Phoenix,Greater Phoenix Charter
+14807760413,Great Hearts Academies - Archway Scottsdale,Greater Phoenix Charter
+16234144883,Great Hearts Academies - Archway Trivium,Greater Phoenix Charter
+16024897341,Great Hearts Academies - Archway Veritas,Greater Phoenix Charter
+14808999181,Great Hearts Academies - Chandler Prep,Greater Phoenix Charter
+16238890822,Great Hearts Academies - Glendale Prep,Greater Phoenix Charter
+14804241796,Great Hearts Academies - Lincoln Prep,Greater Phoenix Charter
+16233247609,Great Hearts Academies - Maryvale Prep,Greater Phoenix Charter
+16233448003,Great Hearts Academies - Roosevelt,Greater Phoenix Charter
+14807761970,Great Hearts Academies - Scottsdale Prep,Greater Phoenix Charter
+16238664730,Great Hearts Academies - Trivium Prep,Greater Phoenix Charter
+16022631128,Great Hearts Academies - Veritas Prep,Greater Phoenix Charter
+16024387045,Great Hearts Online - Arizona,Greater Phoenix Charter
+16233762900,Happy Valley School,Greater Phoenix Charter
+14808881342,Happy Valley School East Campus,Greater Phoenix Charter
+16028969160,Hearn Academy The - A Ball Charter School,Greater Phoenix Charter
+14805990137,Heartwood AZ,Greater Phoenix Charter
+14809695641,Heritage Academy,Greater Phoenix Charter
+14804614400,Heritage Academy Gateway,Greater Phoenix Charter
+16022908546,Heritage Academy Laveen,Greater Phoenix Charter
+15203673800,Heritage Academy Maricopa,Greater Phoenix Charter
+16235373535,Heritage Academy Pinnacle,Greater Phoenix Charter
+16232090017,Heritage Academy Pointe,Greater Phoenix Charter
+16237423956,Heritage Elementary School,Greater Phoenix Charter
+16233008385,Highland Prep,Greater Phoenix Charter
+16234140811,Highland Prep West,Greater Phoenix Charter
+14804889362,Hirsch Academy A Challenge Foundation,Greater Phoenix Charter
+16237728013,Hope High School,Greater Phoenix Charter
+16026745555,Hope High School Online,Greater Phoenix Charter
+14806593100,Horizon Honors Elementary School,Greater Phoenix Charter
+14806593000,Horizon Honors Secondary School,Greater Phoenix Charter
+14803175900,Humanities and Sciences Academy Arizona,Greater Phoenix Charter
+16233441730,Imagine Avondale Elementary,Greater Phoenix Charter
+16025477920,Imagine Bell Canyon,Greater Phoenix Charter
+16023444620,Imagine Camelback Elementary,Greater Phoenix Charter
+15207235391,Imagine Coolidge Elementary,Greater Phoenix Charter
+16025899840,Imagine Cortez Park Elementary,Greater Phoenix Charter
+16233447150,Imagine Desert West Elementary,Greater Phoenix Charter
+16234692024,Imagine Desert West Middle,Greater Phoenix Charter
+14803556830,Imagine East Mesa Elementary,Greater Phoenix Charter
+16232504567,Imagine Online Academy of Arizona,Greater Phoenix Charter
+15204242790,Imagine Prep Coolidge,Greater Phoenix Charter
+14803550530,Imagine Prep Superstition,Greater Phoenix Charter
+16233441770,Imagine Prep Surprise,Greater Phoenix Charter
+16233444300,Imagine Rosefield,Greater Phoenix Charter
+16232504580,Imagine Schools at Buckeye,Greater Phoenix Charter
+16028197170,Incito Schools,Greater Phoenix Charter
+16025647230,Intelli-School,Greater Phoenix Charter
+16025647345,Intelli-School - Metro Center,Greater Phoenix Charter
+16025647285,Intelli-School - Paradise Valley,Greater Phoenix Charter
+16025647210,Intelli-School Glendale,Greater Phoenix Charter
+16025647384,IntelliSchool Online,Greater Phoenix Charter
+14803452306,James Madison Preparatory School,Greater Phoenix Charter
+16025952990,Jefferson Preparatory High School,Greater Phoenix Charter
+14807269536,Kaizen Education Foundation dba El Dorado High School,Greater Phoenix Charter
+14803256100,Kaizen Education Foundation dba Gilbert Arts Academy,Greater Phoenix Charter
+16022423442,Kaizen Education Foundation dba Maya High School,Greater Phoenix Charter
+16022438496,Kaizen Education Foundation dba Quest High School,Greater Phoenix Charter
+16022761943,Kaizen Education Foundation dba South Pointe Elementary Scho,Greater Phoenix Charter
+16022588959,Kaizen Education Foundation dba Summit High School,Greater Phoenix Charter
+14809241500,Kaizen Education Foundation dba Vista Grove Preparatory Acad,Greater Phoenix Charter
+16028455983,Kaleidoscope School,Greater Phoenix Charter
+14804607312,Keystone Montessori Charter School,Greater Phoenix Charter
+16022523759,Khalsa Montessori Elementary School - Phoenix,Greater Phoenix Charter
+14809845646,Leading Edge Academy at East Mesa,Greater Phoenix Charter
+14805458011,Leading Edge Academy Gilbert Early College,Greater Phoenix Charter
+14805456646,Leading Edge Academy Gilbert Elementary,Greater Phoenix Charter
+15205687800,Leading Edge Academy Maricopa,Greater Phoenix Charter
+14806556787,Leading Edge Academy Mountain View,Greater Phoenix Charter
+14802575362,Leading Edge Academy Online,Greater Phoenix Charter
+14808346202,Learning Foundation,Greater Phoenix Charter
+14806359400,Learning Foundation and Performing Arts Gilbert,Greater Phoenix Charter
+14802488025,Learning Foundation and Performing Arts Warner,Greater Phoenix Charter
+16022417876,Learning Institute The,Greater Phoenix Charter
+16026711400,Legacy Online Academy,Greater Phoenix Charter
+16233440330,Legacy Traditional School - Avondale,Greater Phoenix Charter
+15204212323,Legacy Traditional School - Casa Grande,Greater Phoenix Charter
+14802705422,Legacy Traditional School - Chandler,Greater Phoenix Charter
+16024229025,Legacy Traditional School - Deer Valley,Greater Phoenix Charter
+14809355320,Legacy Traditional School - East Mesa,Greater Phoenix Charter
+16232331100,Legacy Traditional School - Goodyear,Greater Phoenix Charter
+15204239999,Legacy Traditional School - Maricopa,Greater Phoenix Charter
+14805764000,Legacy Traditional School - Mesa,Greater Phoenix Charter
+16232194320,Legacy Traditional School - North Phoenix,Greater Phoenix Charter
+14806555553,Legacy Traditional School - Queen Creek,Greater Phoenix Charter
+16232999820,Legacy Traditional School - Surprise,Greater Phoenix Charter
+16232991800,Legacy Traditional School - West Surprise,Greater Phoenix Charter
+14803979260,Legacy Traditional School ? Gilbert,Greater Phoenix Charter
+16232194300,Legacy Traditional School ? Glendale,Greater Phoenix Charter
+16233440472,Legacy Traditional School ? Laveen Village,Greater Phoenix Charter
+14807575400,Legacy Traditional School ? North Chandler,Greater Phoenix Charter
+16232999825,Legacy Traditional School ? Peoria,Greater Phoenix Charter
+14805764600,Legacy Traditional-San Tan,Greater Phoenix Charter
+16029754750,Leman Academy of Excellence East Mesa,Greater Phoenix Charter
+16023965627,Leona Connected High School,Greater Phoenix Charter
+14808303444,Liberty Arts Academy,Greater Phoenix Charter
+16024428791,Liberty Traditional Charter School,Greater Phoenix Charter
+16027453800,Madison Highland Prep,Greater Phoenix Charter
+16024772780,Maricopa Institute of Technology,Greater Phoenix Charter
+14808443965,Mesa Arts Academy,Greater Phoenix Charter
+16022589500,Metropolitan Arts Institute,Greater Phoenix Charter
+16239638682,Midtown High School,Greater Phoenix Charter
+16022655133,Midtown Primary School,Greater Phoenix Charter
+16024041009,Milestones Charter School,Greater Phoenix Charter
+15208369383,Mission Heights Preparatory High School,Greater Phoenix Charter
+14808604330,Mission Montessori Academy,Greater Phoenix Charter
+14806994950,Mission Montessori Academy's Middle Years Program,Greater Phoenix Charter
+14802069357,MIT STEM2 Online High School,Greater Phoenix Charter
+14809451121,Montessori Academy,Greater Phoenix Charter
+16029437672,Montessori Day Public Schools Chartered - Mountainside,Greater Phoenix Charter
+14809268375,Montessori Education Centre Charter School - Mesa,Greater Phoenix Charter
+14809641381,Montessori Education Centre Charter School - North Campus,Greater Phoenix Charter
+14806557444,New Horizon School for the Performing Arts,Greater Phoenix Charter
+14802525414,New School for the Arts,Greater Phoenix Charter
+14804819235,New School for the Arts Middle School,Greater Phoenix Charter
+16022389577,New World Educational Center,Greater Phoenix Charter
+16022437788,NFL YET College Prep Academy,Greater Phoenix Charter
+14809862335,Noah Webster Schools- Mesa,Greater Phoenix Charter
+14802916900,Noah Webster Schools-Pima,Greater Phoenix Charter
+16233271757,Odyssey Institute for Advanced and International Studies,Greater Phoenix Charter
+16022754815,Ombudsman - Charter East,Greater Phoenix Charter
+16238426157,Ombudsman - Charter Metro,Greater Phoenix Charter
+16024859872,Ombudsman - Charter Northeast,Greater Phoenix Charter
+16238784503,Ombudsman - Charter Northwest,Greater Phoenix Charter
+16025648102,Ombudsman - Charter West,Greater Phoenix Charter
+16028402997,Ombudsman Online Academy,Greater Phoenix Charter
+16023433043,Paideia Liberal Arts Academy,Greater Phoenix Charter
+16022663989,Pan-American Charter School,Greater Phoenix Charter
+16239752646,Paradise Honors Elementary School,Greater Phoenix Charter
+16234557400,Paradise Honors High School,Greater Phoenix Charter
+16234557430,Paradise Honors Middle School,Greater Phoenix Charter
+14808141600,Paragon Science Academy,Greater Phoenix Charter
+15203812360,Path to Potential,Greater Phoenix Charter
+14809867071,Pathfinder Academy,Greater Phoenix Charter
+16026267057,Pathways in Education,Greater Phoenix Charter
+14804614000,Paul Revere Academy,Greater Phoenix Charter
+16023834013,Pensar Academy,Greater Phoenix Charter
+16239790031,Peoria Accelerated High School,Greater Phoenix Charter
+16022857998,Phoenix College Preparatory Academy,Greater Phoenix Charter
+16028422521,Phoenix International Academy,Greater Phoenix Charter
+16027409271,Phoenix Modern,Greater Phoenix Charter
+14807857776,Pinnacle Charter High School-Tempe East,Greater Phoenix Charter
+15204232380,Pinnacle High School - Casa Grande,Greater Phoenix Charter
+16024140950,Pinnacle High School - Tempe,Greater Phoenix Charter
+14807558222,Pinnacle Online High School,Greater Phoenix Charter
+16239333733,Pioneer Preparatory - A Challenge Foundation,Greater Phoenix Charter
+16023058865,Pioneer Technology & Arts Academy of Arizona,Greater Phoenix Charter
+15208366549,PPEP TEC - Alice S. Paul Learning Center,Greater Phoenix Charter
+16239368682,Precision Academy,Greater Phoenix Charter
+16232451500,Premier Charter High School,Greater Phoenix Charter
+14808967200,Premier Prep Online Academy,Greater Phoenix Charter
+14804566678,Primavera - Online,Greater Phoenix Charter
+16235002853,RCB College Preparatory Academy,Greater Phoenix Charter
+16234668855,Reid Traditional Schools' Painted Rock Academy,Greater Phoenix Charter
+16235167747,Reid Traditional Schools' Valley Academy,Greater Phoenix Charter
+16232231335,Ridgeline Academy Inc.,Greater Phoenix Charter
+14803604518,Ridgeview College Preparatory High School,Greater Phoenix Charter
+16022853003,Riverbend Prep,Greater Phoenix Charter
+16023934200,Robert L. Duffy High School,Greater Phoenix Charter
+16024853402,Sage Academy,Greater Phoenix Charter
+14803622130,Salt River Accelerated Learning Academy,Greater Phoenix Charter
+14802220811,San Tan Charter School,Greater Phoenix Charter
+16026016464,Scholars Academy Sunnyslope,Greater Phoenix Charter
+14804525777,Scottsdale Country Day School,Greater Phoenix Charter
+16022741910,Self Development Academy-Phoenix,Greater Phoenix Charter
+14806412640,Self Development Charter School,Greater Phoenix Charter
+14804613222,Sequoia Choice School Arizona Distance Learning School,Greater Phoenix Charter
+14803979890,Sequoia Lehi Charter School,Greater Phoenix Charter
+14803518070,Sequoia Pathfinder Academy at Eastmark,Greater Phoenix Charter
+15205682112,Sequoia Pathway Academy,Greater Phoenix Charter
+18772252118,Skyline D5,Greater Phoenix Charter
+16023434980,Skyline Prep High School,Greater Phoenix Charter
+16233866799,Skyview High School,Greater Phoenix Charter
+16022084629,Somerset Academy Skyway Campus,Greater Phoenix Charter
+16022449855,Sonoran Science Academy - Phoenix,Greater Phoenix Charter
+16022430600,South Pointe High School,Greater Phoenix Charter
+16232470106,South Ridge High School,Greater Phoenix Charter
+16022652000,Southwest Leadership Academy,Greater Phoenix Charter
+16026418254,State Online School,Greater Phoenix Charter
+14803442600,STEP UP SCHOOL,Greater Phoenix Charter
+16234654910,Stepping Stones Academy,Greater Phoenix Charter
+16232420689,Student Choice High School,Greater Phoenix Charter
+16232422722,Student Choice High School,Greater Phoenix Charter
+15204130261,Student Choice High School - Maricopa,Greater Phoenix Charter
+16026924914,Sun Valley Academy,Greater Phoenix Charter
+16236007660,Sun Valley Academy-Avondale,Greater Phoenix Charter
+14804974800,Sun Valley High School,Greater Phoenix Charter
+14804161040,Synergy Public School,Greater Phoenix Charter
+16022855525,Tech Campus,Greater Phoenix Charter
+14808393402,Tempe Preparatory Academy,Greater Phoenix Charter
+16025354401,The Excel Center - Papago,Greater Phoenix Charter
+16233273111,The Odyssey Preparatory Academy,Greater Phoenix Charter
+16234449654,The Odyssey Preparatory Academy - Sienna Hills,Greater Phoenix Charter
+16238821140,The Odyssey Preparatory Academy Goodyear,Greater Phoenix Charter
+16023433040,The Paideia Academy of South Phoenix,Greater Phoenix Charter
+16232334523,Think Through Academy,Greater Phoenix Charter
+16028702000,ThrivePoint High School at Avondale,Greater Phoenix Charter
+16028433891,Thrivepoint High School at Union Hills,Greater Phoenix Charter
+16026214398,ThrivePoint Online High School,Greater Phoenix Charter
+14806213383,Valley Preparatory Academy,Greater Phoenix Charter
+16234445969,Valor Preparatory Academy,Greater Phoenix Charter
+16238109781,Victory Collegiate Academy,Greater Phoenix Charter
+16029552210,Villa Montessori - Phoenix Campus,Greater Phoenix Charter
+16026017069,Vista College Prep - Maryvale,Greater Phoenix Charter
+16022376273,Vista College Prep Sueno Park,Greater Phoenix Charter
+16023747159,Vista College Preparatory - Hadley,Greater Phoenix Charter
+16026123327,Vista College Preparatory - Metro North Elementary,Greater Phoenix Charter
+16022691110,West Phoenix High School,Greater Phoenix Charter
+16232493900,Western School of Science and Technology,Greater Phoenix Charter
+16232476456,Westland School,Greater Phoenix Charter
+16232719518,Westland School Brighton Campus,Greater Phoenix Charter
+12094781600,ABLE Charter,California Charter
+13232307270,Academia Avance Charter,California Charter
+13239230383,Academia Moderna,California Charter
+16619433031,Academies of the Antelope Valley,California Charter
+17609465414,Academy for Academic Excellence,California Charter
+17609521266,Academy of Careers and Exploration,California Charter
+13232356343,Accelerated,California Charter
+13238466694,Accelerated Charter Elementary,California Charter
+15596882021,Accelerated Charter High,California Charter
+14082511362,ACE Charter High,California Charter
+14087293920,ACE Empower Academy,California Charter
+14087293420,ACE Esperanza Middle,California Charter
+14082956008,ACE Inspire Academy,California Charter
+15109046440,Achieve Academy,California Charter
+15308724100,Achieve Charter School of Chico,California Charter
+15307622599,Achieve Charter School of Paradise Inc.,California Charter
+18059667392,Adelante Charter,California Charter
+17145642100,Advanced Learning Academy,California Charter
+15307422531,AeroSTEM Academy,California Charter
+17079462347,Agnes J. Johnson Charter,California Charter
+15108938701,AIMS College Prep High,California Charter
+13234202170,Alain Leroy Locke College Preparatory Academy,California Charter
+15109954300,Alameda Community Learning Center,California Charter
+16197951190,Albert Einstein Academies,California Charter
+17072680854,Alder Grove Charter School 2,California Charter
+18187734700,Alfred B. Nobel Charter Middle,California Charter
+18317286333,Alianza Charter,California Charter
+17607495982,All Tribes Charter,California Charter
+17607494375,All Tribes Elementary Charter,California Charter
+19094655404,Allegiance STEAM Academy - Thrive,California Charter
+19094655405,Allegiance STEAM Academy - Thrive Fontana,California Charter
+13237442122,Alliance Cindy and Bill Simon Technology Academy High,California Charter
+13232387270,Alliance College-Ready Middle Academy 12,California Charter
+13234513009,Alliance College-Ready Middle Academy 4,California Charter
+13232692156,Alliance College-Ready Middle Academy 8,California Charter
+13239231588,Alliance Collins Family College-Ready High,California Charter
+12133422870,Alliance Dr. Olga Mohan High,California Charter
+12137458141,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,California Charter
+13239051377,Alliance Jack H. Skirball Middle,California Charter
+13239206125,Alliance Judy Ivie Burton Technology Academy High,California Charter
+13234840450,Alliance Kory Hunter Middle,California Charter
+13237390560,Alliance Leichtman-Levine Family Foundation Env Sci High,California Charter
+13239872144,Alliance Marc & Eva Stern Math and Science,California Charter
+13235372060,Alliance Margaret M. Bloomfield Technology Academy High,California Charter
+17472232649,Alliance Marine - Innovation and Technology 6-12 Complex,California Charter
+13235268198,Alliance Morgan McKinzie High,California Charter
+13235962290,Alliance Ouchi-O'Donovan 6-12 Complex,California Charter
+12133422874,Alliance Patti And Peter Neuwirth Leadership Academy,California Charter
+13239729010,Alliance Piera Barbaglia Shaheen Health Services Academy,California Charter
+13239051210,Alliance Renee and Meyer Luskin Academy High,California Charter
+13233523206,Alliance Susan and Eric Smidt Technology High,California Charter
+12132418533,Alliance Ted K. Tajima High,California Charter
